row_type,producer,product_id,sku_name,product_title,slot_antall_enheter,pa_lager,status,distinct_orders,units_sold,units_sold_excl_cancelled,packages_sold,packages_sold_excl_cancelled,order_refs
product,Hadeland Viltslakteri,10494192812344,Fritt vilt bratwurst,"Hjortepølser, 15 x 100 g",3,139,ACTIVE,3,3,3,9,9,"1035, 1086, 1095"
producer_total,Hadeland Viltslakteri,,,(3 products),,408,,10,14,14,42,42,
product,Frøya Gourmet,10487349444920,Torsk,"Torsk, filet, villfanget, 3 x 250 g",1,2,ACTIVE,7,7,7,7,7,"1019, 1035, 1052, 1067, 1078, 1082, 1092"
product,Frøya Gourmet,10487350395192,Sei,"Sei, filet, villfanget, 6 x 250 g",1,7,ACTIVE,3,4,4,4,4,"1035, 1051, 1067"
product,Frøya Gourmet,10487349543224,Lyr,"Lyr, filet, villfanget, 5 x 250 g",1,2,ACTIVE,4,4,4,4,4,"1024, 1035, 1067, 1084"
product,Frøya Gourmet,10487350788408,Sjøkreps,"Sjøkreps, villfanget, 600 g",1,-1,ACTIVE,3,4,4,4,4,"1035, 1061, 1097"
product,Frøya Gourmet,10703746564408,Reker 50/70,"Store reker, villfanget, 1 kg",1,-2,ACTIVE,1,1,1,1,1,1067
product,Frøya Gourmet,10703755280696,Kamskjell (vent),"Kamskjell, villfanget, 1 kg",1,0,DRAFT,0,0,0,0,0,
producer_total,Frøya Gourmet,,,(6 products),,8,,12,20,20,20,20,
product,Kvarøy,10398485938488,Laks: Portions Club Pack 6x151 365,"Bærekraftig oppdrettslaks, filet uten bein, 6 x 150 g",1,60,ACTIVE,19,19,19,19,19,"1019, 1025, 1035, 1036, 1039, 1040, 1052, 1064, 1069, 1072, 1074, 1075, 1077, 1079, 1082, 1083, 1092, 1096, 1099"
producer_total,Kvarøy,,,(1 products),,60,,19,19,19,19,19,
grand_total,ALL PRODUCERS,,,(46 products),,1276,,58,351,351,666,666,
box_product,Yrja,10535441170744,,Råvareboks,1,23,ACTIVE,55,55,55,55,55,"1019, 1021, 1022, 1023, 1024, 1025, 1026, 1028, 1029, 1030, 1031, 1032, 1036, 1037, 1038, 1039, 1040, 1049, 1050, 1051, 1052, 1053, 1054, 1055, 1058, 1061, 1064, 1065, 1066, 1067, 1069, 1071, 1072, 1073, 1074, 1075, 1076, 1077, 1078, 1079, 1080, 1081, 1082, 1083, 1084, 1086, 1087, 1088, 1092, 1093, 1094, 1095, 1096, 1097, 1099"
box_product,Yrja,10533199151416,,Yrjas grillboks - Liten (4),3,0,ACTIVE,1,1,1,3,3,1085
box_product,Yrja,10699882791224,,Gavekort fra Yrja,1,0,ACTIVE,1,1,1,1,1,1068
box_product,Yrja,10674925994296,,Yrjas utvalgte råvareboks,1,0,ACTIVE,0,0,0,0,0,
box_product,Yrja,10533750014264,Hjortepølse,Yrjas bestselger - Liten (4),3,-3,ACTIVE,0,0,0,0,0,
box_total,HOUSE / BOX SKUs,,,(5 products),,20,,57,57,57,59,59,
delivered_orders_total,,,,GIFT: +1 Kjottdeig per delivered order,,,,59,,,,,
